ingredient_1,ingredient_2,co_occurrence,avg_pair_co2e_kg
beef,onion,455,48.237
beef,garlic,455,48.1596
beef,salt,455,48.1384
paneer,salt,115,6.9184
onion,paneer,115,7.0109
garlic,paneer,115,6.9369
beef,paneer,106,50.6563
beef,fenugreek leaves,85,46.7825
garlic,ghee,80,3.9746
ghee,onion,80,4.0583
butter,onion,80,4.3815
butter,garlic,80,4.3049
beef,mint leaves,80,48.999
butter,salt,80,4.2827
ghee,salt,80,3.9588
beef,fresh coriander,79,47.3319
garlic,mutton,77,22.3846
mutton,onion,77,22.4615
mutton,salt,77,22.3633
beef,curry leaves,76,47.7829
beef,semolina,75,48.259
beef,butter,64,48.8206
beef,lemon juice,64,46.68
beef,ghee,63,48.8771
beef,wheat flour,62,48.0973
basmati rice,onion,61,1.6428
basmati rice,garlic,61,1.5719
basmati rice,salt,61,1.5515
all-purpose flour,beef,60,49.0802
beef,chickpea flour,60,48.5135
