ingredient_1,ingredient_2,co_occurrence
onion,salt,500
garlic,salt,500
garlic,onion,500
beef,onion,456
beef,salt,456
beef,garlic,456
garlic,paneer,135
onion,paneer,135
paneer,salt,135
beef,paneer,106
fenugreek leaves,salt,93
fenugreek leaves,garlic,93
fenugreek leaves,onion,93
mutton,onion,92
garlic,mutton,92
mutton,salt,92
beef,fenugreek leaves,86
mint leaves,salt,86
fresh coriander,onion,86
garlic,mint leaves,86
fresh coriander,salt,86
curry leaves,salt,86
fresh coriander,garlic,86
curry leaves,garlic,86
curry leaves,onion,86
mint leaves,onion,86
onion,semolina,84
garlic,semolina,84
salt,semolina,84
butter,garlic,80
